カード名,日本語名,キーワード,正位置,逆位置
three of swords,ソードの3,痛み,物事を核心を受け入れる,真実を拒絶もがき苦しむ
four of swords,ソードの4,回復,静かに休み態勢を整える,準備が整い再び動き出す
five of swords,ソードの5,混乱,手段を択ばず強奪する,大切なものを奪われる
six of swords,ソードの6,途上,困難な状況から脱出する,かつての苦境に逆戻りする
seven of swords,ソードの7,裏切り,コツコツと裏で画策する,危険を察し万全に備える
eight of swords,ソードの8,忍耐,苦しい状況で助けを待っている,助けのない状況で暴れてる
nine of swords,ソードの9,苦悶,取返しがつかずに絶望する,悪い状況に向き合おうとしない
ten of swords,ソードの10,岐路,すべて受け入れる前進する,都合の良いことだけを見ている
page of swords,ソードのペイジ,警戒,状況を見極め慎重になっている,今一つ脇が甘い
knight of swords,ソードのナイト,果敢,理路整然と決断して進む,不毛な争いを招く
queen of swords,ソードのクイーン,的確さ,正しい言動で一目置かれる,自分の防衛のための武装
ace of cups,カップのA,愛する力,愛と希望に溢れる,喪失感で空っぽになる
two of cups,カップの2,相互理解,よい信頼関係を築く,心がかたく閉ざされていく
three of cups,カップの3,共感,仲間とともに喜び祝い,怠惰を楽しみに浸る
four of cups,カップの4,倦怠,不満を抱えて悶悶とする,不満への打開策を見出す
five of cups,カップの5,喪失,失った悲しみで後悔に暮れる,新たな局面に向け再起する
six of cups,カップの6,心の浄化,懐かしさが胸を満たす,過去の記憶を引きする
seven of cups,カップの7,夢,夢に酔いしれて迷い,夢の実現のため決断する
eight of cups,カップの8,変転,終わりを悟りつに旅立つ,同じテーマに再挑戦する
nine of cups,カップの9,願望,念願がかない心が満たされる,欲望に支配され判断を誤る
ten of cups,カップの10,幸せ,平穏な日々に幸せを感じる,退屈な日々に不満を募らせる
page of cups,カップのペイジ,受容,すべてを受けていれる豊かな心,誘惑に流される弱い心
knight of cups,カップのナイト,理想,理想を達成する喜び,現実に直面する悲しみ
queen of cups,カップのクイーン,慈愛,受け入れて本質を見抜く,受け入れて同情に浸る
king of cups,カップのキング,寛大,悠然とものごとをこなす,振り回され己を失う
king of swords,ソードのキング,厳格さ,客観的な分析で判断する,独裁的に威権を守る
